,title,url,rate,teach_rate,new_carr,advent,earn_more,level,lang,exec_time,chap_cnt,course_dur,chap_avg_dur,edu_name
0,Programming for Everybody (Getting Started with Python),https://ru.coursera.org/learn/python?specialization=python,4.8,4.85,39.0,39.0,12.0,,2.0,,7,1140,162.85714285714286,Мичиганский университет
1,Структуры данных в Python,https://ru.coursera.org/learn/python-data?specialization=python,4.9,4.87,31.0,32.0,12.0,,2.0,,7,1140,162.85714285714286,Мичиганский университет
2,Using Python to Access Web Data,https://ru.coursera.org/learn/python-network-data?specialization=python,4.8,4.85,34.0,33.0,15.0,,2.0,,6,1140,190.0,Мичиганский университет
3,Using Databases with Python,https://ru.coursera.org/learn/python-databases?specialization=python,4.8,4.88,34.0,34.0,13.0,,2.0,,5,900,180.0,Мичиганский университет
4,Что такое наука о данных? ,https://ru.coursera.org/learn/what-is-datascience,4.7,4.68,41.0,40.0,,1.0,2.0,,3,600,200.0,IBM
5,Tools for Data Science,https://ru.coursera.org/learn/open-source-tools-for-data-science,4.5,4.5,46.0,45.0,19.0,1.0,2.0,,4,960,240.0,IBM
6,Data Science Methodology,https://ru.coursera.org/learn/data-science-methodology,4.6,4.56,34.0,37.0,11.0,1.0,2.0,,3,600,200.0,IBM
7,Databases and SQL for Data Science,https://ru.coursera.org/learn/sql-data-science,4.7,4.58,38.0,33.0,,1.0,2.0,,4,840,210.0,IBM
8,Нейронные сети и глубокое обучение,https://ru.coursera.org/learn/neural-networks-deep-learning?specialization=deep-learning,4.9,4.9,39.0,38.0,11.0,2.0,2.0,,4,1200,300.0,deeplearning.ai
9,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",https://ru.coursera.org/learn/deep-neural-network?specialization=deep-learning,4.9,4.92,41.0,37.0,12.0,1.0,2.0,,3,1080,360.0,deeplearning.ai
10,Structuring Machine Learning Projects,https://ru.coursera.org/learn/machine-learning-projects?specialization=deep-learning,4.8,4.92,36.0,38.0,14.0,1.0,2.0,,2,300,150.0,deeplearning.ai
11,Convolutional Neural Networks,https://ru.coursera.org/learn/convolutional-neural-networks?specialization=deep-learning,4.9,4.9,36.0,37.0,12.0,2.0,2.0,,4,1200,300.0,deeplearning.ai
12,Машинное обучение,https://ru.coursera.org/learn/machine-learning,4.9,4.93,40.0,38.0,,,2.0,,11,1920,174.54545454545453,Стэнфордский университет
13,Introduction to Cloud Computing,https://ru.coursera.org/learn/introduction-to-cloud,4.8,4.83,,,,1.0,2.0,,5,540,108.0,IBM
14,Introduction to Artificial Intelligence (AI),https://ru.coursera.org/learn/introduction-to-ai,4.7,4.63,,,,1.0,2.0,,4,480,120.0,IBM
15,Что такое наука о данных? ,https://ru.coursera.org/learn/what-is-datascience,4.7,4.68,41.0,40.0,,1.0,2.0,,3,600,200.0,IBM
16,Introduction to Artificial Intelligence (AI),https://ru.coursera.org/learn/introduction-to-ai,4.7,4.63,,,,1.0,2.0,,4,480,120.0,IBM
17,Что такое наука о данных? ,https://ru.coursera.org/learn/what-is-datascience,4.7,4.68,41.0,40.0,,1.0,2.0,,3,600,200.0,IBM
18,The AI Ladder: A Framework for Deploying AI in your Enterprise,https://ru.coursera.org/learn/ibm-ai-ladder-framework,4.7,4.87,,,,1.0,2.0,,1,180,180.0,IBM
19,Python for Data Science and AI,https://ru.coursera.org/learn/python-for-applied-data-science-ai,4.6,4.58,41.0,39.0,,1.0,2.0,,5,1320,264.0,IBM
20,Анализ данных с Python,https://ru.coursera.org/learn/data-analysis-with-python,4.7,4.62,42.0,41.0,,1.0,2.0,,7,1382,197.42857142857142,IBM
21,Data Visualization with Python,https://ru.coursera.org/learn/python-for-data-visualization,4.6,4.39,27.0,35.0,11.0,2.0,2.0,,3,1080,360.0,IBM
22,Applied Data Science Capstone,https://ru.coursera.org/learn/applied-data-science-capstone,4.7,4.64,45.0,41.0,10.0,2.0,2.0,,3,1440,480.0,IBM
23,The Science of Well-Being,https://ru.coursera.org/learn/the-science-of-well-being,4.9,4.92,36.0,34.0,,,2.0,,10,1080,108.0,Йельский университет
24,Введение в маркетинг,https://ru.coursera.org/learn/wharton-marketing?specialization=wharton-business-foundations,4.8,4.77,33.0,36.0,11.0,,2.0,,5,600,120.0,Пенсильванский университет
25,Введение в финансовый учёт,https://ru.coursera.org/learn/wharton-accounting?specialization=wharton-business-foundations,4.7,4.81,41.0,35.0,,,2.0,,4,720,180.0,Пенсильванский университет
26,Managing Social and Human Capital,https://ru.coursera.org/learn/wharton-social-human-capital?specialization=wharton-business-foundations,4.5,4.58,18.0,20.0,11.0,1.0,2.0,,4,480,120.0,Пенсильванский университет
27,Введение в корпоративные финансы,https://ru.coursera.org/learn/wharton-finance?specialization=wharton-business-foundations,4.6,4.61,33.0,32.0,,,2.0,,4,360,90.0,Пенсильванский университет
28,Excel Skills for Business: Essentials,https://ru.coursera.org/learn/excel-essentials,4.9,4.87,31.0,31.0,13.0,1.0,2.0,,6,1260,210.0,Университет Маккуори
29,Excel Skills for Business: Intermediate I,https://ru.coursera.org/learn/excel-intermediate-1,4.9,4.87,36.0,30.0,,2.0,2.0,,6,960,160.0,Университет Маккуори
30,Excel Skills for Business: Intermediate II,https://ru.coursera.org/learn/excel-intermediate-2,4.8,4.8,19.0,23.0,12.0,2.0,2.0,,6,1140,190.0,Университет Маккуори
31,Excel Skills for Business: Advanced,https://ru.coursera.org/learn/excel-advanced,4.7,4.8,42.0,38.0,32.0,2.0,2.0,,6,960,160.0,Университет Маккуори
32,Набор инструментальных средств для специалистов по обработке данных,https://ru.coursera.org/learn/data-scientists-tools?specialization=jhu-data-science,4.6,4.49,39.0,35.0,,,2.0,,4,780,195.0,Университет Джонса Хопкинса
33,Программирование на языке R,https://ru.coursera.org/learn/r-programming?specialization=jhu-data-science,4.5,4.41,36.0,35.0,11.0,2.0,2.0,,4,3480,870.0,Университет Джонса Хопкинса
34,Сбор и сортировка данных,https://ru.coursera.org/learn/data-cleaning?specialization=jhu-data-science,4.6,4.5,39.0,36.0,,,2.0,,4,1140,285.0,Университет Джонса Хопкинса
35,Разведочный анализ данных,https://ru.coursera.org/learn/exploratory-data-analysis?specialization=jhu-data-science,4.7,4.66,38.0,38.0,15.0,,2.0,,4,3360,840.0,Университет Джонса Хопкинса
36,Набор инструментальных средств для специалистов по обработке данных,https://ru.coursera.org/learn/data-scientists-tools?specialization=data-science-foundations-r,4.6,4.49,39.0,35.0,,,2.0,,4,780,195.0,Университет Джонса Хопкинса
37,Программирование на языке R,https://ru.coursera.org/learn/r-programming?specialization=data-science-foundations-r,4.5,4.41,36.0,35.0,11.0,2.0,2.0,,4,3480,870.0,Университет Джонса Хопкинса
38,Сбор и сортировка данных,https://ru.coursera.org/learn/data-cleaning?specialization=data-science-foundations-r,4.6,4.5,39.0,36.0,,,2.0,,4,1140,285.0,Университет Джонса Хопкинса
39,Разведочный анализ данных,https://ru.coursera.org/learn/exploratory-data-analysis?specialization=data-science-foundations-r,4.7,4.66,38.0,38.0,15.0,,2.0,,4,3360,840.0,Университет Джонса Хопкинса
40,Natural Language Processing with Classification and Vector Spaces,https://ru.coursera.org/learn/classification-vector-spaces-in-nlp,4.6,4.7,,,,2.0,2.0,,4,1440,360.0,deeplearning.ai
41,Natural Language Processing with Probabilistic Models,https://ru.coursera.org/learn/probabilistic-models-in-nlp,4.8,4.86,,,,2.0,2.0,,4,1440,360.0,deeplearning.ai
42,Natural Language Processing with Sequence Models,https://ru.coursera.org/learn/sequence-models-in-nlp,4.4,,,,,2.0,2.0,,4,1140,285.0,deeplearning.ai
43,Natural Language Processing with Attention Models,https://ru.coursera.org/learn/attention-models-in-nlp,,,,,,2.0,2.0,,2,240,120.0,deeplearning.ai
44,Indigenous Canada,https://ru.coursera.org/learn/indigenous-canada,4.8,4.76,19.0,,,,2.0,,12,1200,100.0,Альбертский университет
45,Google Cloud Platform Fundamentals: Core Infrastructure,https://ru.coursera.org/learn/gcp-fundamentals?specialization=gcp-architecture,4.7,4.68,36.0,37.0,14.0,2.0,2.0,,1,60,60.0,Google Cloud
46,Essential Google Cloud Infrastructure: Foundation,https://ru.coursera.org/learn/gcp-infrastructure-foundation?specialization=gcp-architecture,4.7,4.75,26.0,26.0,,2.0,2.0,,2,200,100.0,Google Cloud
47,Essential Google Cloud Infrastructure: Core Services,https://ru.coursera.org/learn/gcp-infrastructure-core-services?specialization=gcp-architecture,4.7,4.65,29.0,27.0,19.0,2.0,2.0,,2,80,40.0,Google Cloud
48,Elastic Google Cloud Infrastructure: Scaling and Automation,https://ru.coursera.org/learn/gcp-infrastructure-scaling-automation?specialization=gcp-architecture,4.7,4.62,29.0,55.0,50.0,2.0,2.0,,2,140,70.0,Google Cloud
49,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",https://ru.coursera.org/learn/introduction-tensorflow,4.7,4.79,40.0,43.0,12.0,2.0,2.0,,4,1800,450.0,deeplearning.ai
50,Convolutional Neural Networks in TensorFlow,https://ru.coursera.org/learn/convolutional-neural-networks-tensorflow,4.7,4.79,,13.0,10.0,2.0,2.0,,4,1680,420.0,deeplearning.ai
51,Natural Language Processing in TensorFlow,https://ru.coursera.org/learn/natural-language-processing-tensorflow,4.6,4.67,,,,2.0,2.0,,4,780,195.0,deeplearning.ai
52,"Sequences, Time Series and Prediction",https://ru.coursera.org/learn/tensorflow-sequences-time-series-and-prediction,4.6,4.7,,,,2.0,2.0,,4,720,180.0,deeplearning.ai
53,Introduction to Cybersecurity Tools & Cyber Attacks,https://ru.coursera.org/learn/introduction-cybersecurity-cyber-attacks,4.5,4.28,,,,1.0,2.0,,4,1140,285.0,IBM
54,"Cybersecurity Roles, Processes & Operating System Security",https://ru.coursera.org/learn/cybersecurity-roles-processes-operating-system-security,4.6,4.4,,,,1.0,2.0,,4,420,105.0,IBM
55,Cybersecurity Compliance Framework & System Administration,https://ru.coursera.org/learn/cybersecurity-compliance-framework-system-administration,4.6,4.45,,,,1.0,2.0,,4,840,210.0,IBM
56,Network Security & Database Vulnerabilities ,https://ru.coursera.org/learn/network-security-database-vulnerabilities,4.7,4.35,,,,1.0,2.0,,4,660,165.0,IBM
57,Финансовые рынки,https://ru.coursera.org/learn/financial-markets-global,4.8,4.8,39.0,31.0,12.0,1.0,2.0,,7,1560,222.85714285714286,Йельский университет
58,Technical Support Fundamentals,https://ru.coursera.org/learn/technical-support-fundamentals,4.8,4.86,,,,1.0,2.0,,6,1440,240.0,Google
59,Fundamentals of Quantitative Modeling,https://ru.coursera.org/learn/wharton-quantitative-modeling,4.6,4.66,34.0,35.0,10.0,,2.0,,4,480,120.0,Пенсильванский университет
60,Introduction to Spreadsheets and Models,https://ru.coursera.org/learn/wharton-introduction-spreadsheets-models,4.2,3.74,38.0,35.0,12.0,,2.0,,4,300,75.0,Пенсильванский университет
61,Financial Acumen for Non-Financial Managers,https://ru.coursera.org/learn/finance-healthcare-managers,4.5,4.68,,17.0,,1.0,2.0,,4,540,135.0,Пенсильванский университет
62,Введение в корпоративные финансы,https://ru.coursera.org/learn/wharton-finance,4.6,4.61,33.0,32.0,,,2.0,,4,360,90.0,Пенсильванский университет
63,Fundamentals of Graphic Design,https://ru.coursera.org/learn/fundamentals-of-graphic-design?specialization=graphic-design,4.8,4.8,50.0,44.0,,1.0,2.0,,4,840,210.0,Калифорнийский институт искусств
64,Introduction to Typography,https://ru.coursera.org/learn/typography?specialization=graphic-design,4.8,4.83,33.0,36.0,,1.0,2.0,,4,540,135.0,Калифорнийский институт искусств
65,Introduction to Imagemaking,https://ru.coursera.org/learn/image-making?specialization=graphic-design,4.5,4.4,67.0,53.0,,1.0,2.0,,4,840,210.0,Калифорнийский институт искусств
66,Ideas from the History of Graphic Design,https://ru.coursera.org/learn/graphic-design-history?specialization=graphic-design,4.7,4.79,48.0,40.0,,1.0,2.0,,4,480,120.0,Калифорнийский институт искусств
67,Анализ потребительского поведения,https://ru.coursera.org/learn/wharton-customer-analytics?specialization=business-analytics,4.6,4.6,33.0,32.0,,,2.0,,5,724,144.8,Пенсильванский университет
68,Operations Analytics,https://ru.coursera.org/learn/wharton-operations-analytics?specialization=business-analytics,4.7,4.64,46.0,51.0,19.0,,2.0,,4,600,150.0,Пенсильванский университет
69,People Analytics,https://ru.coursera.org/learn/wharton-people-analytics?specialization=business-analytics,4.5,4.64,26.0,28.0,14.0,,2.0,,4,480,120.0,Пенсильванский университет
70,Анализ финансовой отчетности,https://ru.coursera.org/learn/accounting-analytics?specialization=business-analytics,4.5,4.73,21.0,25.0,11.0,,2.0,,4,540,135.0,Пенсильванский университет
71,Introduction to Data Science in Python,https://ru.coursera.org/learn/python-data-analysis?specialization=data-science-python,4.5,4.36,33.0,35.0,10.0,2.0,2.0,,4,900,225.0,Мичиганский университет
72,"Applied Plotting, Charting & Data Representation in Python",https://ru.coursera.org/learn/python-plotting?specialization=data-science-python,4.5,4.43,36.0,38.0,14.0,2.0,2.0,,4,1500,375.0,Мичиганский университет
73,Applied Machine Learning in Python,https://ru.coursera.org/learn/python-machine-learning?specialization=data-science-python,4.6,4.38,34.0,35.0,12.0,2.0,2.0,,4,2040,510.0,Мичиганский университет
74,Applied Text Mining in Python,https://ru.coursera.org/learn/python-text-mining?specialization=data-science-python,4.3,4.07,32.0,34.0,,2.0,2.0,,4,1620,405.0,Мичиганский университет
75,Fundamentals of Quantitative Modeling,https://ru.coursera.org/learn/wharton-quantitative-modeling?specialization=wharton-business-financial-modeling,4.6,4.66,34.0,35.0,10.0,,2.0,,4,480,120.0,Пенсильванский университет
76,Introduction to Spreadsheets and Models,https://ru.coursera.org/learn/wharton-introduction-spreadsheets-models?specialization=wharton-business-financial-modeling,4.2,3.74,38.0,35.0,12.0,,2.0,,4,300,75.0,Пенсильванский университет
77,Modeling Risk and Realities,https://ru.coursera.org/learn/wharton-risk-models?specialization=wharton-business-financial-modeling,4.6,4.48,44.0,32.0,,,2.0,,4,480,120.0,Пенсильванский университет
78,Decision-Making and Scenarios,https://ru.coursera.org/learn/wharton-decision-making-scenarios?specialization=wharton-business-financial-modeling,4.6,4.71,20.0,21.0,,,2.0,,4,420,105.0,Пенсильванский университет
79,Маркетинг в цифровом мире,https://ru.coursera.org/learn/marketing-digital?specialization=digital-marketing,4.7,4.83,48.0,46.0,,1.0,2.0,,4,1620,405.0,Иллинойсский университет в Урбане-Шампейне
80,Цифровая аналитика для специалистов по маркетингу: теория маркетингового анализа,https://ru.coursera.org/learn/marketing-analytics?specialization=digital-marketing,4.5,4.53,38.0,36.0,12.0,,2.0,,4,1080,270.0,Иллинойсский университет в Урбане-Шампейне
81,Цифровая аналитика для специалистов по маркетингу: практика маркетингового анализа,https://ru.coursera.org/learn/digital-analytics?specialization=digital-marketing,4.5,4.67,35.0,38.0,14.0,,2.0,,4,1020,255.0,Иллинойсский университет в Урбане-Шампейне
82,Digital Media and Marketing Principles,https://ru.coursera.org/learn/marketing-channels?specialization=digital-marketing,4.3,4.48,48.0,33.0,,,2.0,,4,1200,300.0,Иллинойсский университет в Урбане-Шампейне
83,Инициирование и планирование проектов,https://ru.coursera.org/learn/project-planning,4.7,4.67,38.0,34.0,11.0,,2.0,,6,320,53.333333333333336,Калифорнийский университет в Ирвайне
84,Планирование бюджета и графика проектов,https://ru.coursera.org/learn/schedule-projects,4.7,4.68,32.0,38.0,19.0,,2.0,,5,320,64.0,Калифорнийский университет в Ирвайне
85,Управление рисками проекта и изменениями по проекту,https://ru.coursera.org/learn/project-risk-management,4.7,4.71,31.0,34.0,13.0,,2.0,,5,320,64.0,Калифорнийский университет в Ирвайне
86,Project Management Project,https://ru.coursera.org/learn/project-management-capstone,4.8,4.81,29.0,33.0,11.0,,2.0,,4,200,50.0,Калифорнийский университет в Ирвайне
87,Google Cloud Platform Fundamentals: Core Infrastructure,https://ru.coursera.org/learn/gcp-fundamentals,4.7,4.68,36.0,37.0,14.0,2.0,2.0,,1,60,60.0,Google Cloud
88,Architecting with Google Kubernetes Engine: Foundations,https://ru.coursera.org/learn/foundations-google-kubernetes-engine-gke,4.7,4.68,67.0,80.0,33.0,2.0,2.0,,1,26,26.0,Google Cloud
89,Architecting with Google Kubernetes Engine: Workloads,https://ru.coursera.org/learn/deploying-workloads-google-kubernetes-engine-gke,4.7,4.67,,,,2.0,2.0,,1,25,25.0,Google Cloud
